AwardNumber,Program(s),PrincipalInvestigator,Title,StartDate,Abstract
9015570,"THEORY OF COMPUTING, DIGITAL SOCIETY&TECHNOLOGIES, SPECIAL PROGRAMS-RESERVE",Michael Fischer,Decision-Making Based on Practical Knowledge,8/15/90,"Geanakoplos Zuck This research is funded under the Special Initiative on Coordination Theory and Collaboration Technology . This is one of eleven winners under that competition . How to make decisions in the face of uncertainty is a core problem in many computer science and economic modelling problems . However , there are a number of weaknesses in the traditional approaches to modelling knowledge . Among them are assumption that there are perfect reasoners and that inferences can be based on arbitrarily deep levels of knowledge . This research on coordination theory is to develop a new notion of practical knowledge upon which to base coordinated decision making . Practical knowledge will take account of several factors which limit a reasoner 's deductive ability such as computational resources available to the reasoner , imperfections in the reasoner 's ability to carry out correct deductions , and faultiness and incompleteness in the data available to the reasoner . Many of these factors have been studied previously in isolation . This research extends and unifies such work in order to come up with a comprehensive theory of sound reasoning in a practical multi-agent environment ."
9216823,"ROBOTICS, DIGITAL SOCIETY&TECHNOLOGIES, ARTIFICIAL INTELL & COGNIT SCI",Kumpati Narendra,Intelligent Control Systems Design,12/15/92,"Control systems require intelligence to operate efficiently in dynamical environment possessing a high degree of uncertainty . Successful autonomous operation in such situations can result from a carefully designed interconnection of diverse information processing capabilities . Such capabilities necessarily imply some computational representation of the designer 's view of what information is important and how it can produce the desire control action . Thus intelligent controllers give rise to dynamical systems defined on extended state spaces and their underlying algorithms amount to rules for tuning and switching in those space . We propose to explore a unified mathematical framework for combining , in a stable manner various information processing capabilities in on-line settings . We intend to explore in detail two specific challenging application - an aircraft and a robot control problem - to provide the stimulus for our theoretical investigations . Finally , we plan to devise a uniform architecture for implementing the diverse information capabilities by the systematic use of artificial neural networks ."
9530768,"CISE Research Resources, ROBOTICS",James Duncan,An Integrated Method for Simultaneous Recognition and Segmentation of Deformable Objects,6/1/96,"This research is primarily aimed at robustly locating deformable structures/objects of approximately known shape from natural images . The problem of locating and recognizing underlying object structures in an image is of importance in many image analysis and computer vision applications including robot vision , pattern recognition and biomedical image processing . Algorithms that can reliably perform these basis tasks are at the core of a variety of systems that will permit humans to more effectively interact with pictorial data for the purposes of visualization , analysis , control or , as in the case of image database systems , retrieval of task-specific information within these applications areas . The robust identification and measurement of such structure is not always achievable using a single analysis technique that depends on a single image derived source of information . This is especially true when one is dealing with a wide range of images obtained under different conditions having different image content . The approach in this research project utilizes two different sources of image-derived information : 1 . ) gray-level gradients and ii . ) homogeneity of intensity or texture elements , etc. , as well as model-based information ( i.e approximate object shape ) . Furthermore , two different processing methods are combined in this approach , in order to integrate the above-mentioned information sources : a ) regionbased methods , which are primarily based on homogeneity properties and b . ) boundary methods which capitalize on both gradient ( imagederived ) and shape ( model based ) properties . A game theoretic framework will be used , where , unlike the global objective approach which is widely used as an integration method in computer vision , the modularity of the underlying objectives are retained . The integration problem is then framed as a family of coupled and coex isting objectives whereby the output of one module depends upon the previous outputs of the other modules . This effort will build on initial work which has been able to locate structure in two dimensional images . It will also extend the concept to analyzing three dimensional image data . Both theoretical and experimental investigations will be carried out regarding the applicability and the limits of the approach ."
9505370,"CISE Research Resources, ROBOTICS",Amir Amini,Vision Algorithms for Analysis of Tissue and Fluid Deformations from Medical Images,7/15/95,"The aim of this research is to develop vision algorithms for analysis of non-rigid motion from medical imagery . We will continue our algorithm development in snake tracking and image velocity field computation for assessment of tissue deformations and analysis of fluid flow from MRI and X-ray imagery , and extend the techniques to 3D . MRI is unique in its ability to non-invasively and selectively alter tissue magnetization , and create tagged patterns within deforming tissue such as the heart muscle . The resulting pattern defines a time-varying curvilinear coordinate system on the underlying tissue , allowing for precise and quantitative measurement of tissue motion and deformation from a sequence of images . The motion of these visible tag lines is tracked with Dynamic Programming ( DP ) B-spline snakes , and interacting B-spline deformable grids . Warp algorithms have been developed which continuously map two tissue regions in the plane such that two embedded grids of curves are brought into registration . For fluid flow field analysis , a scalar function formulation for optical flow has been developed . The novel aspect of the new optical flow framework is that it automatically enforces incompressibility on the resulting velocity field . Applications of the techniques to various experimental conditions are planned ."
9109116,ROBOTICS,Gregory Hager,Resource-Bounded Sensor-Based Decision Making In Unconstrained Environments,9/1/91,"A central problem in sensor data fusion is the recovery of complex , multi-component models from various sensory modalities . An essential component of this process is a description of what decision must be made from the recovered model . This description is referred to as the sensing task . The goal of this research project is to develop and analyze techniques for recovering the minimal or least detailed model required to make a satisfactory decision for a given sensing task . In particular , the focus is on the task-directed recovery of composite models ( models composed os several components ) . The model recovery method is based on the numerical solution os systems of nonlinear constraints using interval bisection . Previous work , based on making decisions about objects modeled by a single parametric form , showed that these methods are general , natural , simple to implement , and computationally effective . In addition , the investigations were able to incorporate notions of the cost of computation and the value of information into the recovery process , and to terminate the recovery process when the model with the highest net value ( decision payoff minus computational cost ) was reached . They are now extending the underlying recovery method by incorporating model refinement and data segmentation in a manner that also exploits information about the sensing task . The results are expect to have particular impact in application area where good a priori models ar not available . Examples of these domains include classification and sorting of irregular ( e.g . naturally occurring ) objects , supervisory control , and ultimately , to sensor-based control of partially or fully autonomous vehicles ."
9304091,INFORMATION & KNOWLEDGE MANAGE,Niki Pissinou,"Workshop on an Infrastructure for Temporal Databases ; Arlington , Texas ; June 14-16 , 1993",6/15/93,"Workshop on an Infrastructure for Temporal Databases The objective of this workshop is to define and establish a common infrastructure for temporal databases . The infrastructure establishes a common technical vocabulary , identifies specific data modeling and query language needs arising from potential temporal DBMS users , identifies concepts and technologies from other data handling areas that could be profitably applied to temporal databases , specifies a single temporal relational data model , lists the specific language features that should be included in a temporal query language , specifies a database schema and example queries that will aid in comparing query language proposals , outlines and populates a DBMS architecture with established query processing approaches , storage structures , and access methods , states the features that should be present in next-generation temporal data models and query languages , characterizes the research questions that are most pressing , and includes recommendations for funding and for building additional infrastructure in the temporal DBMS community . The workshop participants will communicate this infrastructure through a consensus document that will be widely circulated to the research , development , management and planning communities and funding agencies . This document will contain technical results and recommendations and will provide a foundation for implementation , standardization and future research ."
9312395,"ROBOTICS, ARTIFICIAL INTELL & COGNIT SCI",Thomas Dean,"Robot Planning , Learning and Selective Perception in Stochastic Domains",8/1/94,"9312398 Dean The project will address problems in building integrated planning and learning systems for applications in mobile robotics , such as errand running , surveillance , target following , and searching for objects of a specified type . These applications require robots to work under uncertainty , complexity , and time pressure . Solutions to the associated control problems require efficient algorithms for directing movement and sensing to acquire information about the environment ."
9907257,DIGITAL SOCIETY&TECHNOLOGIES,Robert Reynolds,Computational Models of State Formation,9/1/99,"A state is among the most sophisticated and powerful structures that has emerged from the social evolution process . The processes by which complex social entities have emerged from lower level social structures and their supporting economies have long been of prime interest to researchers . The goal of this project is to produce a large-scale knowledge-based computational model of the origins of the Zapotec State , centered at Monte Alban , in the Valley of Oaxaca , Mexico . While archaic states have emerged in various parts of the world , the relative isolation of the valley has allowed the process of social evolution to be more visible there . To this end , extensive surveys of the valley have been made by the Oaxaca Settlement Survey in the 1970 's and 1980 's . The locations and features of over 3,000 archaeological sites have been documented . These data and the extracted knowledge are used here to construct a distributed , knowledge-based model of state formation in the valley . The model is then used to test various hypotheses concerning the emergence of complex social systems . These hypotheses include questions about the impact of chiefly cycling , hydraulic despotism , social circumscription , and strategies for territorial expansion on state formation ."
9521487,ARTIFICIAL INTELL & COGNIT SCI,Lucja Iwanska,A Boolean Algebra Approach to The Sematics and Pragmatics ofNatural Language : Computational Model for Representation and Inference,12/1/95,"IRI-9521487 Iwanska , Lucja Wayne State University $ 18,000-12 mos RPG : The Semantics and Pragmatics of Natural Language in A Computational Model for Representation and Inference This research planning grant is to develop a knowledge representation system closely resembling computational , algorithmic , representational and inferential characteristics of natural language , starting with a Boolean algebra approach . It is planned to demonstrate that only combining semantic and pragmatic processing , logical , context-independent , and nonlogical , context-dependent reasoning in natural language allows one to fully simulate human understanding of natural language and write programs that correctly derive , represent , and reason with the information from natural language texts . Further , it is planned to demonstrate the attractiveness of the proposed framework by applying it to computing some pragmatic aspects of natural language , all extremely common and all having to do with the way knowledge is communicated and acquired by natural language . The objective of the project is to produce a research proposal for continued research in this area ."
9300691,INFORMATION & KNOWLEDGE MANAGE,Jack Minker,Logic Programming and Deductive Databases,8/1/93,"9300691 Minker This is the first year funding of a three-year continuing award . Two related topics , logic programming and deductive databases are to be studied . In the former , the semantics of extended disjunctive logic programs with logical negation and negation-by- default are to be developed . Model theoretic , proof theoretic and fixpoint semantics are to be devised for this class of programs . Alternative rules for negation-by-default are to be considered . Work in extended disjunctive logic programming is related to commonsense and nonmonotonic reasoning . It will extend the expressive power of logic programming and will permit users to naturally combine logical negation and negation-by-default in one theory and to compute in that theory . In deductive databases topics to be studied are : alternative theories for disjunctive normal and extended deductive databases ; the view update problem in disjunctive theories ; cooperative answering ; and combining multiple databases with priorities among atoms . Work in deductive databases will permit computation in situations where data is indefinite . This is important for databases containing imprecise information ( e.g. , medical ) . A formal theory of database updates is to be developed for disjunctive databases . Cooperative answering systems will provide meaningful answers to user queries in databases and will permit queries to be relaxed when there are no answers to the original query . * * *"
9311988,"CISE Research Resources, ARTIFICIAL INTELL & COGNIT SCI",Donald Perlis,Time-Situated Reasoning,3/1/94,"9311988 Perlis All reasoning , whether by human or machine , is situated in the physical world and thus subject to time constraints . However , much of the formal study of reasoning agents ignores this , assuming an agent is able to reason forever in a timeless present as if the world had stopped for the agent 's benefit . The early work by one of the PIs and his student involved the development of a family of logics -- called `` step-logics '' -- for this purpose . More recently the PIs have begun to generalize and modify this work , renaming the formalisms as `` active logics '' . The proposed research would seek to broaden and deepen the existing results of the PIs in time-situated reasoning , specifically in the areas of deadline-coupled planning and acting ; language-change ; interactive focal points ; multi-agent reasoning ; and graceful recognition and resolution of contradictions . All five of these areas are ones in which keeping track of changing time during the course of reasoning is useful ."
9057573,INFORMATION & KNOWLEDGE MANAGE,Timoleon Sellis,Presidential Young Investigator Award,8/1/90,"This project focuses on research in three areas : Query Optimization , Active Databases , and Learning mechanisms for relational database management systems . Query optimization is necessary to provide fast access to large databases ; in this project , techniques that allow the optimization of multiple queries , thus providing higher throughput for the system are developed and implemented in a prototype system . In contrast to the traditional single command-at-a-time optimization , a multiple-query processing strategy avoids redundant page accesses by accessing data common to more than one query , only once . The research on Active databases investigates methods that allow the specification , efficient monitoring and processing of triggers in relational systems . Such methods are essential in contemporary systems and allow the database management system to `` react '' to changes performed . The use of machine learning is explored at the buffer management and query optimization levels in order to improve the performance of database systems . In particular , schemes that will adapt the above sub-systems based on the query and user environment , are investigated . The contributions of the research in the above three areas lie in improving performance of relational database systems in contemporary applications , such as deductive and engineering databases ."
9820138,ARTIFICIAL INTELL & COGNIT SCI,Jack Minker,Workshop on Research in Logic-Based Artificial Intelligence,3/1/99,"There is a perception among certain members of the artificial intelligence community that the logic-based approach to AI has not been sufficiently recognized as important at NSF . This workshop will bring together leading researchers in the logic-based AI community , to provide them with an opportunity to exchange information in their sub-disciplines , to learn about related work in logic-based AI , and to assess the direction of the field as a whole . A report to NSF will describes important current themes in the field which are worthy of research support , and will provide an assessment of an area of research that some of the leading figures in artificial intelligence believe to be among the most promising for significant future advances . NSF funds will be used to partially support attendees who do not have sufficient funds to come otherwise , as well as a small number of student attendees ; no funds will be used for overhead or for the PIs . The University of Maryland Institute for Advanced Computer Studies will contribute approximately $ 5,000 to defray the charge for use of the conference rooms , to provide preprints of papers , and for other incidentals ."
9501353,INFORMATION & KNOWLEDGE MANAGE,Michael Franklin,CAREER : Broadcast Disks : Technique for Data in Management in Asymmetric Communication Environments,7/1/95,"Many emerging networked applications have the property that communication among nodes is asymmetric . Typically , servers can and/or must send much more data to clients than clients send back to the servers . Examples include wireless networks with mobile clients , cable and direct satellite broadcast TV systems , information dispersal and information retrieval applications . Broadcast Disks technique exploits the characteristics of such environments , by treating a broadcast stream of data that are repeatedly and cyclicly transmitted as a storage device . The essence of this approach is to superimpose multiple broadcast programs ( or ` disks ` ) spinning at different speeds on a single broadcast channel ; in effect , creating an arbitrarily fine-grained memory hierarchy . The technique also integrates the use of client storage resources for caching and prefetching data that is delivered over the broadcast . The Broadcast Disks approach provides improved performance for non-uniformly accessed data and increased availability of important data . The challenges being addressed in this project include : broadcast program generation , caching and prefetching strategies , and adapting to volatile data , changing client needs , and communication errors . The results of this research will be techniques , analyses , and prototype implementations of this novel approach , which has the potential to significantly improve the performance and availability of future distributed computing systems . The education portion of this project aims to develop new courses , software tools and laboratories that will provide students at all levels with more direct , hands-on experience in building database systems and applications ."
9123460,"CISE Research Resources, DIGITAL SOCIETY&TECHNOLOGIES",Jonathan Wilkenfeld,A Strategic Model of Negotiation for Autonomous Agents,6/1/92,"Distributed Artificial Intelligence ( DAI ) has been concerned with the design of automated agents which can interact effectively in order to satisfy their goals . This project will contribute to both the theory and design of efficient autonomous agents which are able to communicate and negotiate in such a way as to enhance the possibility of reaching mutually beneficial agreements . The authors are developing a strategic model of negotiation that takes the passage of time during the negotiation process itself into consideration . This model is used in the creation of a prototype of an autonomous agent that participates in situations where negotiations are required , and where time constraints exist . A preliminary model has been constructed , based on the differentialimpact of time on the parties , the effects of two-partyand restricted N-party environments , an full information . The researchers are extending the model to deal with situations where the information available to the agents is incomplete , to more complicated N-party situations , and to agents with limited rationality . Parallel to these theoretical extensions , the design of the automated negotiator is being developed and a prototype created . The strategic model is used to identify efficient strategies for the automated negotiator , for various negotiationsituations . A library of meta-strategies in which the strategies will be presented using the finite-automata framework is being built . The automated negotiator identifies the appropriate parameters of its situation , searches for the appropriate strategy , and negotiates according to that strategy . //"
8907122,ARTIFICIAL INTELL & COGNIT SCI,Donald Perlis,Non-Montonicity : Scope and Ignorance,7/1/90,This research will address several questions : 1 . How can one determine that an agent does or does not know a particular fact in a non-monotonic inference system ? 2 . How does the scope of an agent 's reasoning affect the conclusions that can be reached ? The work will build upon previous results on autocircumscription in non-monotonic reasoning . Both issues ( ignorance assessment and scope/counter examples ) will be further tested within a large knowledge base .
9711925,"ROBOTICS, INFORMATION & KNOWLEDGE MANAGE",Aravinda Sistla,Similarity Based Retrieval From Video and Pictorial Databases,9/15/97,"The objective of this research is to develop a system for similarity based retrieval from video and pictorial databases . The system is based on an expressive query language called Hierarchical Temporal Logic ( HTL ) that represents the temporal and pictorial content of video data . HTL predicates are then matched with the database using multidimensional similarity measures . The approach includes development of representation and preprocessing methods for pictorial feature extraction both for generic objects and generic motion . The features extracted include spectral signatures of shape and motion , local and global color histograms and texture . Articulated motion in video is decomposed into basic components using Motion Spectral Signatures ( MSS ) . Generic objects are recognized using Affine Invariant Spectral Signatures ( AISS ) and Expansion Matching ( EXM ) based indexing in the frequency domain . Motion and object representations are then utilized to construct a dictionary of HTL atomic predicates with multidimensional hyper-regional representation . An on-line learning capability for expanding the dictionary is also planned . Improved methods for video shot and scene segmentation are to be developed as well . The results of this research will provide an efficient means for query retrieval from video and pictorial databases . Such a system will have many applications in digital libraries and in TV movie industries ."
9010365,"CISE Research Resources, INFORMATION & KNOWLEDGE MANAGE",Aris Ouksel,Transaction Management in Interpolation-Based Grid Files,8/15/90,"This project implements mechanisms for cooperation and communication within and between complex database transactions with the aim of increasing the degree of parallelism as well as the level of recovery control during failures . A transaction is defined as a partially ordered set of primitive database operations . The approach exploits the spatial properties of a multidimensional data structure , the Interpolation-Based Grid File ( IBGF ) , which represents objects -- points , boxes , or otherwise . It provides a capability to learn important access path information from live processes , prior to accessing the data , and a technique to allow sharing of this information among processes . Throughput will be greatly improved by using this capability to anticipate potential conflicts and to reduce access redundancy . This research will develop servers , responsible for any transaction on the IBGF structure , which incorporate this access path information passing capability . A transaction manager will be built on top of IBGF servers . Methods developed by other researchers will be modified to take advantage of IBGF spatial properties to improve performance . The portability of the results to a commercially available system such as INGRES will be considered . The results provide tools for the design of advanced transaction systems ."
9210220,INFORMATION & KNOWLEDGE MANAGE,Jorge Lobo,Updates in Deductive Databases,9/1/92,"This is the first-year funding of a three-year continuing award . The process of updating a view in a relational database usually requires the translation of an update into updates over the underlying base relations . This process can be complex since the translation may not be unique . A generalization of the view update problem in relational databases is equivalent to the update of an intensional relation in a deductive database in which only the extensional database can be modified . The aim of this research is to design and implement update algorithms for stratified normal deductive databases by incorporating disjunctions in the extensional part of the database . The algorithms consider single insertions , single deletions and transactions . A fundamental structure for the implementation of the algorithms are interpretation trees that are used to compute answers to queries in disjunctive deductive databases . The research also addresses the issue of integrity constraints in disjunctive databases . So far , constraint satisfaction in disjunctive databases has been relatively unexplored ; nevertheless , it has been shown that there exists a strong connection between disjunctive databases with constraints and the stable model semantics for normal logic programs . Hence , the development of algorithms to check integrity constraints will indicate directions to define procedures to answer queries in normal logic programs under the stable model semantics ."
9213822,HUMAN COMPUTER INTER PROGRAM,Thomas DeFanti,Prototyping and Quantitative Assessment of an Intuitive Virtual Reality Environment and Its Application to Grand Challenges to Computational Science,10/1/92,9213822 Defanti This is the third year funding of a three year continuation award . Virtual reality includes 3D display of views which track the user 's perspective viewpoint in real time . Two major existing modes are head-mounted displays ( HMD ) and boom-mounted displays . This work is on an alternative environment : a room ( `` CAVE '' ) constructed from 7'x7 ' screens on which graphics are projected . This work will add engineering enhancements to improve the performance and sonic feedback of this room . Quantitative assessment of the benefits of this type of display for a number of tasks will be done . Collaborative effort will take place with discipline scientists working on grand challenge problems in computational science .
9111988,INFORMATION & KNOWLEDGE MANAGE,Clement Yu,Query Optimization in Heterogeneous Environment,7/1/92,"Currently , users have difficulties in retrieving information which is stored in different types of database systems . Most users are not familiar with different query languages and may not be aware of the locations of data . The objective of this project is to facilitate query formulation and to speed up query processing in heterogeneous database environments , i.e . where different types of database systems , specifically , relational , object-oriented , deductive , and textual systems co-exist in an organization or across different organizations . To enable a user who is familiar with only a single query language to access information stored in different types of database systems , translators of query languages are being built . An intelligent data dictionary is constructed to facilitate schema integration and query translation . Query processing performance is optimized by application of logic-based methods , using knowledge about the types of queries previously processed . Parallel processing techniques across different systems are employed to provide further speedup . The resulting heterogeneous query processing system will find wide applicability as the networking of different database systems becomes widespread ."
9002087,ROBOTICS,Ishwar Sethi,Artificial Neural Networks and Decision Trees,2/1/91,"The proposed research is aimed at developing a systematic artificial neural network ( ANN ) design and training methodology and exploring its applications in robotics . The salient feature of the research is the use of statistical pattern recognition techniques to solve some key aspects of ANN and learning procedures . One major limitation of present ANNs operating under the supervised mode of learning is that these networks are unable to self-configure the architecture for a given classification problem . A solution to this problem is to establish a direct relationship between a class of nonparametric classifiers , i.e . decision trees , and the multilayer neural networks . It can be shown that a decision tree can be restructured as a three layered neural net . Exploiting this restructuring allows neural network design and training methodology to have self-configuration capability . The tree-to-network mapping also provides a solution to the credit assignment problem thus making it possible to train each layer separately and progressively . The research will explore automatic tree generation , incorporation of incremental learning , and adaptability in such networks . The proposed methodology will be applied to robot learning where networks are required to perform regression rather than classification . The main expected benefit of the proposed research is that it will make available an ANN design and training procedure that is systematic . This should result in many more applications for artificial neural networks ."
9257592,ARTIFICIAL INTELL & COGNIT SCI,Leslie Kaelbling,NSF Young Investigator,9/15/92,"The focus of the proposed research is the design and implementation of autonomous agents-computer programs that have a sustained interaction with a dynamic , incompletely predictable environment . Programming such agents is very difficult , largely because the programmer rarely actually knows the correct behavior for the agent . For example , typically , the programmer ends up learning , during the debugging process , how the agent 's sensors and effectors interact with the environment . Thus , the agent , rather than the programmer , should learn this from experience . This learning , called reinforcement learning , will be investigated . In particular , two special problems will be studied : that they require the input and output spaces to be completely enumerated ( and have polynomial time complexity ) and that they can not use prior information about the world , information which ought to be able to speed and deepen the learning process . //"
9423967,DIGITAL SOCIETY&TECHNOLOGIES,Jonathan Wilkenfeld,Negotiation and Cooperation in Multi-Agent Environments,6/1/95,This is the first year funding of a three-year continuing grant . Research in distributed artificial intelligence ( DAI ) is concerned with how automated agents can be designed to interact effectively . This proposal involves the use of a strategic- negotiation model to achieve inter-agent cooperation . During the strategic-negotiations agents communicate their respective desires and compromise to reach mutually beneficial agreement . Strategic- negotiation is a process that may include several iterations of offers and counter offers . A major consideration in this domain has been to reduce overhead costs resulting from planning and negotiation time . This research examines resource allocation and task distribution problems among autonomous agents . The objective is the development of an automated agent capable of efficient cooperation with other agents in its environment .
9308973,"PART FOR ADVANCED COMP INFRA, DIGITAL SOCIETY&TECHNOLOGIES",Katherine Klein,"RIA : Implementing Computerized Manufacturing Technology , A Multi-Organizational Study of Implementation Effectiveness",7/15/93,"When companies purchase computerized technologies , they anticipate substantial improvements in organizational performance . Some companies achieve these benefits , but others find the implementation of computerized technologies a struggle and the benefits of implementation elusive . There is little research or theory available to explain such differences in implementation effectiveness . The proposed study of the implementation of the same computerized manufacturing technology ( manufacturing resource planning or MRPII ) in 35 plants will begin to fill this gap . The research design holds the technology constant across plants , allowing a rigorous assessment of the impact of organizational characteristics and processes on the outcomes of technology implementation . These organizational characteristics and processes include climate for technology implementation , financial resource availability , and upward communication within in each plant . Implementation outcomes include employee use and acceptance of the technology and improvements in plant performance as a result of technology implementation . Survey data will be gathered from an average of 40 plant employees ( plant management , implementation team members , and technology users ) in each plant to test hypotheses regarding implementation effectiveness . The study includes a longitudinal component , with plant management assessing changes in plant performance as a result of technology implementation at two times , one year apart . //"
9357756,"WESTERN EUROPE PROGRAM, ARTIFICIAL INTELL & COGNIT SCI",Venkatramanan Subrahmanian,NSF Young Investigator,7/15/93,"9357756 Subrahmanian Reasoning agents functioning in a dynamically changing world often need to reason simultaneously in many different ways . These ways may include : reasoning about time , reasoning in the presence of uncertainty , reasoning in the presence of non-monotonicity , and reasoning about diverse data structures . In this proposal , we plan to develop a uniform scheme for reasoning with hybrid representations of data and knowledge . We will develop prototype implementations of this scheme as well as study application of this scheme to diverse domains ."
9712715,"ROBOTICS, INFORMATION & KNOWLEDGE MANAGE",Hanan Samet,Image Database : Handling Multiple Objects and Spatial Information,9/15/97,"The goal of this research project is to investigate issues involved in the implementation of image databases containing symbols . The issues involve the specification of queries with a preference given to a graphical specification as well as the development of algorithms to process the queries . A query is specified with exemplars of the symbols that are to be found in the database . The symbols in the database are not necessarily classified in advance thereby permitting variation in the quality of the match . Queries to the database involve matching contextual , and spatial constrains . The order in which he different constraints are checked for satisfaction is not fixed , the query optimizer chooses the optimal order . The query images can contain one or more instances of each symbol . The user can specify if all of the symbols must satisfy the spatial constraints or if a maximal subset is also permitted . In the latter case , there is a need for a specification technique for the required subset as well as for the response . The spatial constraints include topological relations such as overlap , encloses , and intersects as well as distance and direction . The symbols are not restricted to point objects thereby also including objects with extent such as lines and areas . The query processing and specification method is integrated with an existing spatial and non-spatial database to enable queries about non-spatial attributes of objects corresponding to the symbols . The results of this research will improve the ability of symbolic image databases and geographic information systems ( GIS ) to efficiently handle large spatial problems , e.g. , adding fiber cables in city planning ."
9008208,"CISE Research Resources, INFORMATION & KNOWLEDGE MANAGE",Louiqa Raschid,A Semantics for a Stratified Production System Program,9/1/90,"This project investigates techniques that allow programs written in the Production System ( PS ) paradigm to reason correctly and efficiently with large databases located on secondary storage . A class of stratified PS programs are identified . For this class of programs , an operational semantics and a model theoretic semantics are developed . The correct semantics ensure that a stratified PS program will correspond to a consistent theory , the execution of the program will not produce incorrect , inconsistent answers and execution of the program will terminate . Implementation techniques for stratified PS programs using relational data structures and relational queries are developed as well as strategies for the concurrent execution of productions in stratified PS programs . The results of this research will provide a foundation for expert systems , written as stratified PS programs , to reason correctly and efficiently with data in relational databases ."
9015439,SPECIAL PROJECTS IN NET RESEAR,"P. David Stotts, Jr.",Distributed Concurrent Hypertext for Multireader CooperativeSystems,9/1/90,"Furuta This research is funded under the Special Initiative on Coordination Theory and Collaboration Technology . This is one of eleven winners under that competition . This project is to develop a system that allows rapid prototyping and evaluation of collaboration support structures . It operates in the context of a data browsing and information system based on the Trellis model of hypertext . Trellis uses a formally defined concurrent process model ( nets ) to implement hypertext . This approach provides parallel automation semantics on tip of the features of the commonly used annotated directed graph . A Trellis document has a well defined and analyzable formal structure , and the concurrency aspects of nets give Trellis the capability of managing groups of interactive agents within the structure of a linked document . Trellis documents not only represent relations among information elements , but also serve as the basis for construction of high- level cooperative process descriptions in which the agents of computation are coarse grained and of moderate speed and number . This corresponds to groups of people interacting cooperatively on the solution of a problem involving the browsing and manipulation of information . This project integrates collaboration support methods into hypertext documents and browsing . The unique features and capabilities of the Trellis hypertext model , coupled with the proposed formal extensions and analysis techniques , make this not only technically feasible , but especially appropriate and succinct ."
9216970,"CISE Research Resources, ROBOTICS, INFORMATION & KNOWLEDGE MANAGE",Hanan Samet,Spatial Query Procesing : A Sorting Approach,8/1/93,"9216970 Samet Spatial Query Processing : A Sorting Approach This is the first year funding of a three-year continuing award . An investigation is being conducted into the efficient processing of spatial data as arising in problems involving scientific data . Instead of using standard database methods which represent spatial data as points in a higher dimensional space , and then storing the coordinate values in a relation ( equivalent to mapping the data into points in a higher dimensional space ) , the data is organized by sorting it in such a way that the space it occupies is taken into account . Particular attention is focused on the spatial variant of the range query . Algorithms for such queries are being developed in the context of spatial data corresponding to road networks and topography both above ground and underwater ( represented both as contour lines and surfaces ) . Their performance is being evaluated by examining factors such as buffer utilization , page sizes , page faults , data distribution , etc . in environments where the data is spatially sorted and where it is not . The evaluation is in terms of real data obtained by cooperating with the US Bureau of the Census and the US Geological Survey . This information is being used to pinpoint where the algorithms can be improved . Appropriate models for generating the queries rather than the underlying database ( which consists of real data ) are also being investigated . * * *"
9625428,"CISE Research Resources, INFORMATION & KNOWLEDGE MANAGE",Christos Faloutsos,Fast Searching of Multimedia Objects by Content,8/1/96,"The goal of this project is to develop a domain-independent method to search multimedia databases by content , e.g. , to find video clips that are similar to a news broadcasting session in a collection of video clips . The approach extracts N numerical features from each object , effectively mapping the object into a point in N-dimensional space . Then , highly fine-tuned , off-the-shelf , spatial access methods ( like R-trees ) are used to cluster the data and to search very quickly for similar objects , that is , nearby points in the N-d space . This approach is generic and can be used for any database of multimedia objects , as long as appropriate features can be derived . The specific applications in this project are : ( a ) natural and medical images , with state-of-the-art signal processing methods , like wavelets and morphology , and ( b ) voice and related time sequences that include time-warping and Hidden Markov Models ( HMM ) . Applications of such a system are numerous , including computer aided medical diagnosis and teaching ( by using similarity search on older , expertly diagnosed medical images ) , queries on video by content ( in art , entertainment , or journalism applications ) , and similarity searching in financial and scientific time sequences ( for data mining , decision support , and forecasting ) ."
9619562,ARTIFICIAL INTELL & COGNIT SCI,John Horty,Plan Management in Dynamic Environments,4/15/97,"9619562 Horty This is the first-year of a three-year continuing award . Research on planning within AI has led to the development of computational techniques for generating a plan to achieve a specified goal from a specified initial state , given definitions of the available actions . Until recently , however , much of this research has been governed by a number of simplifying assumptions , notably that there is no indeterminacy either in the planning agent 's knowledge , in the effects of its actions , or in the notion of goal satisfaction , and that there are no changes either in the goals presented to the agent or in its environment . This award supports research aimed at relaxing the latter assumption . Specifically , the research investigates the issues involved in extending planning technology to a dynamic setting , in which the agent 's goals and environment are both subject to change . A study is being made of both the theoretical and practical issues presented by situations that call for integrated generation , maintenance , and execution of plans for multiple , changing goals . The project addresses these issues from two complementary points of view . The first is designing and implementing a dynamic planning system that is flexible enough to allow for the experimental investigation of the consequences of adopting different reasoning strategies in different dynamic planning environments . Secondly , but in parallel , a formal analysis is being carried out of the dynamic planning problem , with a special emphasis on providing a clean semantic analysis of the implemented system . The aim of the project is more flexible and realistic planning models and systems ."
